gemeentecode,gemeentenaam,inwoners,pct_65plus,pct_65_80,pct_80plus,n_65plus,n_65plus_met_valrisico,n_65plus_at_risk_met_visusproblematiek,n_vallen_65plus,potentieel_vallen_door_visusproblematiek_65plus,sterfgevallen_door_visusproblematiek_65plus,kosten_ernstige_vallen_65plus,kosten_ernstige_vallen_visusproblematiek_65plus,n_65_80,n_65_80_met_valrisico,n_65_80_at_risk_met_visusproblematiek,n_vallen_65_80,potentieel_vallen_door_visusproblematiek_65_80,sterfgevallen_door_visusproblematiek_65_80,kosten_ernstige_vallen_65_80,kosten_ernstige_vallen_visusproblematiek_65_80,n_80plus,n_80plus_met_valrisico,n_80plus_at_risk_met_visusproblematiek,n_vallen_80plus,potentieel_vallen_door_visusproblematiek_80plus,sterfgevallen_door_visusproblematiek_80plus,kosten_ernstige_vallen_80plus,kosten_ernstige_vallen_visusproblematiek_80plus
189,Wierden,25504,0.22899999999999998,0.16899999999999998,0.06,5840,1927,385,1386,359,2,1514920,78397,4310,1422,284,1022,265,1,1117912,57870,1530,505,101,364,94,0,397008,20527
193,Zwolle,134089,0.17300000000000001,0.131,0.042,23197,7655,1531,5512,1429,6,6018012,312060,17566,5797,1159,4172,1082,5,4557337,236283,5632,1859,372,1339,347,2,1461461,75777
197,Aalten,27566,0.247,0.187,0.06,6809,2247,449,1616,419,2,1766489,91500,5155,1701,340,1224,317,1,1337249,69225,1654,546,109,392,102,0,429240,22274
200,Apeldoorn,169143,0.225,0.16899999999999998,0.055999999999999994,38057,12559,2512,9043,2344,10,9873313,511874,28585,9433,1887,6793,1761,8,7415794,384561,9472,3126,625,2250,583,3,2457519,127313
202,Arnhem,171916,0.165,0.128,0.037000000000000005,28366,9361,1872,6739,1747,8,7359191,381503,22005,7262,1452,5227,1355,6,5709053,295900,6361,2099,420,1512,392,2,1650138,85603
203,Barneveld,63668,0.17800000000000002,0.13,0.048,11333,3740,748,2693,698,3,2940217,152427,8277,2731,546,1966,510,2,2146988,111372,3056,1008,202,727,188,1,792444,41055
209,Beuningen,26868,0.226,0.179,0.047,6072,2004,401,1444,374,2,1575453,81673,4809,1587,317,1141,296,1,1247627,64639,1263,417,83,299,78,0,327826,17033
213,Brummen,21554,0.27399999999999997,0.20199999999999999,0.07200000000000001,5906,1949,390,1404,364,2,1532215,79489,4354,1437,287,1033,268,1,1129704,58525,1552,512,102,367,95,0,402511,20746
214,Buren,28045,0.221,0.175,0.046,6198,2045,409,1472,382,2,1607686,83420,4908,1620,324,1166,302,1,1273570,65950,1290,426,85,306,79,0,334902,17252
216,Culemborg,30387,0.20800000000000002,0.161,0.047,6320,2086,417,1501,389,2,1639918,84948,4892,1614,323,1163,302,1,1268853,65950,1428,471,94,338,88,0,370279,19217
221,Doesburg,11192,0.292,0.22699999999999998,0.065,3268,1078,216,778,202,1,847474,44112,2541,839,168,605,157,1,659584,34285,727,240,48,173,45,0,188677,9827
222,Doetinchem,60371,0.228,0.174,0.054000000000000006,13765,4542,908,3269,848,4,3570713,185183,10505,3467,693,2495,647,3,2725597,141289,3260,1076,215,774,201,1,845902,43894
225,Druten,19983,0.22,0.17300000000000001,0.047,4396,1451,290,1044,271,1,1140710,59180,3457,1141,228,821,213,1,897002,46514,939,310,62,223,58,0,243708,12666
226,Duiven,24881,0.22699999999999998,0.17800000000000002,0.049,5648,1864,373,1343,348,2,1465392,75995,4429,1462,292,1051,272,1,1149358,59398,1219,402,80,288,75,0,316034,16378
228,Ede,125049,0.196,0.147,0.05,24510,8088,1618,5825,1510,7,6358417,329748,18382,6066,1213,4367,1132,5,4768813,247202,6252,2063,413,1487,386,2,1621837,84293
230,Elburg,23981,0.212,0.159,0.053,5084,1678,336,1210,314,1,1319167,68570,3813,1258,252,907,235,1,988982,51318,1271,419,84,302,78,0,329399,17033
232,Epe,33746,0.27,0.198,0.073,9111,3007,601,2164,561,2,2363966,122509,6682,2205,441,1588,412,2,1733470,89971,2463,813,163,587,152,1,639144,33193
233,Ermelo,28209,0.249,0.18100000000000002,0.068,7024,2318,464,1670,433,2,1822306,94557,5106,1685,337,1213,314,1,1324670,68570,1918,633,127,457,118,1,497636,25768
243,Harderwijk,50560,0.2,0.152,0.048,10112,3337,667,2401,622,3,2623397,135830,7685,2536,507,1825,473,2,1993688,103292,2427,801,160,576,149,1,629710,32538
244,Hattem,12821,0.23,0.16699999999999998,0.063,2949,973,195,702,182,1,764928,39744,2141,707,141,508,132,1,555811,28826,808,267,53,191,50,0,209903,10919
246,Heerde,19296,0.255,0.188,0.067,4920,1624,325,1170,303,1,1276715,66168,3628,1197,239,860,223,1,941027,48698,1293,427,85,306,79,0,335688,17252
252,Heumen,16980,0.265,0.19399999999999998,0.071,4500,1485,297,1069,277,1,1167439,60490,3294,1087,217,781,202,1,854550,44112,1206,398,80,288,75,0,312889,16378
262,Lochem,34245,0.303,0.22,0.083,10376,3424,685,2466,639,3,2691793,139542,7534,2486,497,1789,464,2,1954380,101327,2842,938,188,677,176,1,737413,38434
263,Maasdriel,26267,0.21100000000000002,0.16699999999999998,0.045,5542,1829,366,1318,342,2,1437876,74685,4387,1448,290,1044,271,1,1138352,59180,1182,390,78,281,73,0,306600,15941
267,Nijkerk,46191,0.2,0.151,0.05,9238,3049,610,2196,569,3,2396985,124256,6975,2302,460,1656,429,2,1809727,93683,2310,762,152,547,142,1,599050,31009
268,Nijmegen,189717,0.16899999999999998,0.131,0.038,32062,10580,2116,7618,1975,9,8317513,431293,24853,8201,1640,5904,1531,7,6447252,334334,7209,2379,476,1714,444,2,1870261,96959
