Gemeente;Totaal, 65 jaar of ouder;65 tot 80 jaar;80 jaar of ouder
Uitgeest;20,7;15,9;4,8
Uithoorn;18,9;13,5;5,4
Urk;10,7;8,3;2,4
Utrecht (gemeente);11,0;8,4;2,6
Utrechtse Heuvelrug;25,8;17,9;7,9
Vaals;30,2;21,9;8,3
Valkenburg aan de Geul;31,9;22,3;9,6
Valkenswaard;26,6;19,1;7,6
Veendam;24,3;18,3;6,0
Veenendaal;19,2;14,6;4,5
Veere;29,3;21,6;7,7
Veldhoven;22,8;16,8;6,0
Velsen;21,8;16,3;5,5
Venlo;23,5;17,6;5,8
Venray;23,8;17,8;6,0
Vijfheerenlanden;20,6;15,3;5,3
Vlaardingen;20,7;15,1;5,7
Vlieland;22,2;16,9;5,3
Vlissingen;25,2;18,8;6,4
Voerendaal;29,0;21,1;7,9
Voorne aan Zee;24,9;19,1;5,8
Voorschoten;24,9;17,5;7,4
Voorst;26,1;19,9;6,2
Vught;23,4;17,2;6,2
Waadhoeke;24,3;18,5;5,7
Waalre;24,8;17,3;7,6
Waalwijk;22,1;16,4;5,6
Waddinxveen;18,0;13,8;4,2
Wageningen;16,9;12,5;4,4
Wassenaar;25,8;17,4;8,4
Waterland;26,5;19,7;6,8
Weert;24,8;17,8;7,0
West Betuwe;20,7;15,8;4,9
West Maas en Waal;23,4;18,1;5,3
Westerkwartier;22,6;16,9;5,7
Westerveld;31,7;23,4;8,2
Westervoort;23,6;19,3;4,3
Westerwolde;26,8;20,4;6,4
Westland;20,6;15,2;5,4
Weststellingwerf;26,0;19,0;6,9
Wierden;22,9;16,9;6,0
Wijchen;23,6;18,2;5,5
Wijdemeren;25,7;18,9;6,8
Wijk bij Duurstede;24,4;19,7;4,7
Winterswijk;25,8;19,2;6,6
Woensdrecht;25,5;18,5;7,1
Woerden;20,5;15,3;5,2
De Wolden;26,6;19,7;6,8
Wormerland;24,2;17,1;7,1
Woudenberg;19,2;13,7;5,5
Zaanstad;18,8;13,9;4,9
Zaltbommel;19,4;14,7;4,7
Zandvoort;27,5;20,0;7,5
Zeewolde;16,4;13,1;3,3
Zeist;22,0;15,7;6,3
Zevenaar;25,4;19,2;6,2
Zoetermeer;21,3;16,9;4,4
Zoeterwoude;22,6;17,0;5,5
Zuidplas;19,2;14,8;4,5
Zundert;24,6;18,7;5,9
Zutphen;25,3;19,6;5,7
Zwartewaterland;18,5;14,2;4,3
Zwijndrecht;23,5;16,8;6,7
Zwolle;17,3;13,1;4,2
